earliestTime,eventCount,host,hostCount,id,latestTime,modTime,"orig_index",path,rawSize,sizeOnDiskMB,sourceCount,sourcetypeCount,state
"07/01/2013:23:14:31",438036,"mon-prod-logidx-2",470,176,"07/02/2013:00:56:31","07/02/2013:13:21:56","_internal","/data/hot/_internaldb/db/db_1372744591_1372738471_176_3516763C-B78A-4885-8543-C9A1383A5392",97536108,"51.468750",19,,warm
"07/02/2013:12:19:14",465512,"mon-prod-logidx-2",861,175,"07/02/2013:13:19:14","07/02/2013:20:17:35","_internal","/data/cold/_internaldb/colddb/rb_1372789154_1372785554_175_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",108025777,"60.945312",21,,cold
"07/01/2013:19:53:23",442221,"mon-prod-logidx-2",474,175,"07/01/2013:21:40:24","07/03/2013:18:32:34","_internal","/data/cold/_internaldb/colddb/rb_1372732824_1372726403_175_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",98401416,"54.328125",16,,cold
"07/02/2013:17:30:30",524341,"mon-prod-logidx-2",863,175,"07/02/2013:18:30:29","07/03/2013:15:44:36","_internal","/data/cold/_internaldb/colddb/rb_1372807829_1372804230_175_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",134735699,"64.960938",18,,cold
"07/01/2013:21:33:32",449113,"mon-prod-logidx-2",474,175,"07/01/2013:23:14:30","07/02/2013:12:29:57","_internal","/data/hot/_internaldb/db/db_1372738470_1372732412_175_3516763C-B78A-4885-8543-C9A1383A5392",99934918,"52.925781",17,,warm
"07/02/2013:10:41:15",440719,"mon-prod-logidx-2",480,174,"07/02/2013:12:19:13","07/02/2013:20:17:17","_internal","/data/cold/_internaldb/colddb/rb_1372785553_1372779675_174_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",98870414,"51.933594",22,,cold
"07/01/2013:18:11:23",443801,"mon-prod-logidx-2",475,174,"07/01/2013:19:53:22","07/03/2013:22:01:42","_internal","/data/cold/_internaldb/colddb/rb_1372726402_1372720283_174_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",98790627,"53.699219",19,,cold
"07/02/2013:16:30:30",546579,"mon-prod-logidx-2",855,174,"07/02/2013:17:30:29","07/03/2013:18:32:18","_internal","/data/cold/_internaldb/colddb/rb_1372804229_1372800630_174_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",141221573,"68.632812",16,,cold
"07/01/2013:19:51:31",441597,"mon-prod-logidx-2",469,174,"07/01/2013:21:33:31","07/02/2013:12:21:53","_internal","/data/hot/_internaldb/db/db_1372732411_1372726291_174_3516763C-B78A-4885-8543-C9A1383A5392",98263689,"51.300781",17,,warm
"07/02/2013:09:04:15",445506,"mon-prod-logidx-2",477,173,"07/02/2013:10:41:14","07/03/2013:22:01:32","_internal","/data/cold/_internaldb/colddb/rb_1372779674_1372773855_173_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",100564647,"54.265625",16,,cold
"07/01/2013:16:26:01",450324,"mon-prod-logidx-2",476,173,"07/01/2013:18:11:22","07/03/2013:18:32:13","_internal","/data/cold/_internaldb/colddb/rb_1372720282_1372713961_173_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",100541350,"55.347656",22,,cold
"07/02/2013:15:30:30",531486,"mon-prod-logidx-2",868,173,"07/02/2013:16:30:29","07/03/2013:22:01:23","_internal","/data/cold/_internaldb/colddb/rb_1372800629_1372797030_173_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",135988936,"71.667969",14,,cold
"07/01/2013:18:10:30",454065,"mon-prod-logidx-2",471,173,"07/01/2013:19:51:30","07/02/2013:10:48:56","_internal","/data/hot/_internaldb/db/db_1372726290_1372720230_173_3516763C-B78A-4885-8543-C9A1383A5392",100918529,"54.253906",19,,warm
"07/02/2013:07:26:15",443191,"mon-prod-logidx-2",483,172,"07/02/2013:09:04:14","07/02/2013:18:21:17","_internal","/data/cold/_internaldb/colddb/rb_1372773854_1372767975_172_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",98180008,"52.410156",22,,cold
"07/01/2013:10:29:02",63311,"mon-prod-logidx-2",484,172,"07/01/2013:16:29:02","07/03/2013:22:00:59","_internal","/data/cold/_internaldb/colddb/rb_1372714142_1372692542_172_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",13261097,"12.363281",14,,cold
"07/02/2013:14:30:28",562689,"mon-prod-logidx-2",857,172,"07/02/2013:15:30:29","07/03/2013:22:01:13","_internal","/data/cold/_internaldb/colddb/rb_1372797029_1372793428_172_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",142778138,"72.445312",17,,cold
"07/01/2013:16:25:01",433618,"mon-prod-logidx-2",474,172,"07/01/2013:18:10:29","07/02/2013:09:13:52","_internal","/data/hot/_internaldb/db/db_1372720229_1372713901_172_3516763C-B78A-4885-8543-C9A1383A5392",96576230,"52.214844",29,,warm
